"gene","ensembl_id","stat","log2FoldChange","pvalue","baseMean"
"NDRG1","ENSG00000104419",1.4612809666842e-06,0.846512425897618,2.28933255003009e-10,209.678339975998
"DDIT3","ENSG00000175197",1.68326906129068e-06,0.783507873094202,5.27422547795921e-10,682.236268212144
"HSPA5","ENSG00000044574",2.61348857282954e-06,0.829648788666462,1.2283355347781e-09,557.945799078874
"HMGCS1","ENSG00000112972",4.84392917287493e-06,0.65728901633534,3.03551882993886e-09,627.801054632142
"ATG101","ENSG00000123395",2.80102405037254e-05,0.827500095507354,2.19412819236451e-08,182.184532181771
"RPL7A","ENSG00000148303",0.000104622349599783,0.72060718082608,1.11943595411267e-07,580.583871615
"RPN1","ENSG00000163902",0.000104622349599783,0.586369949250832,1.256734133025e-07,1567.35800731633
"ISCU","ENSG00000136003",0.000104622349599783,0.599121577924694,1.31126241077591e-07,284.774217374198
"ENSG00000224032","ENSG00000224032",0.000112726662012111,0.527018790943782,1.76604515137256e-07,581.002785402372
"UBL5","ENSG00000198258",0.000112726662012111,0.521300148616434,1.66854482647967e-07,514.421053556901
"RPS15","ENSG00000115268",0.000157383553857479,0.482303379498267,2.71223420402987e-07,682.225528522909
"INSIG1","ENSG00000186480",0.000164726125633226,0.709986876598884,3.53933458238328e-07,1002.24495452678
"RPS4X","ENSG00000198034",0.000164726125633226,0.674474636264793,3.61298097895216e-07,426.131943306987
"UBAP2L","ENSG00000143569",0.000164726125633226,-0.615414777462903,3.43597387726897e-07,371.28024040835
"LMAN2","ENSG00000169223",0.000173865791808857,0.534388882052815,4.08583248806651e-07,636.276915110596
"OS9","ENSG00000135506",0.000239921455761673,0.689456074481624,6.01401111105556e-07,153.05453808861
"ATF7IP","ENSG00000171681",0.000286233032722129,-0.775417484907635,7.62331436045149e-07,143.062685899785
"RPL6","ENSG00000089009",0.0008577196770888,0.499375234017017,2.51352266116654e-06,554.774863184316
"LGALS3","ENSG00000131981",0.0008577196770888,-0.697416247291404,2.55313706167746e-06,605.805915235729
"TRIM14","ENSG00000106785",0.00155999045578098,-1.02610761391722,4.88795380160105e-06,73.5897056360405
"UBP1","ENSG00000153560",0.00260814011144351,-0.490834488478906,8.58075236414128e-06,433.96701870995
"EMC4","ENSG00000128463",0.00279484851789312,0.660220366143623,9.63287911540789e-06,149.240641148473
"RPL12","ENSG00000197958",0.00280501089669373,0.580219585197857,1.01073555732345e-05,211.586125286478
"P4HA1","ENSG00000122884",0.00298084525068663,1.20764502713862,1.12079407827791e-05,43.0559723751716
"ZNF808","ENSG00000198482",0.0032668209927515,-0.662017415869239,1.27950062382559e-05,127.488518119218
"ATP5F1D","ENSG00000099624",0.00425173163715804,0.84097425403512,1.73186624731488e-05,80.4999205308681
"DOLPP1","ENSG00000167130",0.00450011474738802,0.805232381825195,1.97404375570836e-05,93.7824685521499
"ZNF721","ENSG00000182903",0.00450011474738802,-0.754361244980115,1.97394553989586e-05,95.208145587204
"HSP90AB1","ENSG00000096384",0.0047191159218413,0.382023469116519,2.23285885236289e-05,1082.86106883187
"FAM107B","ENSG00000065809",0.0047191159218413,-0.748839848578851,2.37873905263189e-05,292.761968005136
"CKMT1B","ENSG00000223572",0.0047191159218413,-0.531950348128671,2.43977479900929e-05,196.332069606627
"FASTKD2","ENSG00000118246",0.0047191159218413,0.614092418439674,2.42794810033705e-05,162.040518307767
"TXNIP","ENSG00000265972",0.0047191159218413,0.571507678857414,2.18753611690619e-05,414.539266146886
"CETN2","ENSG00000147400",0.00481289062609747,0.555996364975874,2.61925250312782e-05,327.558515206668
"MTA3","ENSG00000057935",0.00481289062609747,-0.59322587247054,2.63905956311157e-05,166.050861826454
"POGK","ENSG00000143157",0.00553793981839393,0.520350356666748,3.2101484142343e-05,212.679005415539
"RBBP4","ENSG00000162521",0.00553793981839393,-0.494066321849876,3.19846057231952e-05,419.568882926523
"SRSF1","ENSG00000136450",0.00592545861313368,-0.360748917804076,3.52761126898135e-05,816.14052453758
"UQCRFS1","ENSG00000169021",0.00634525080885091,0.676197815938027,3.87693532109017e-05,114.98219817502
"SLC4A2","ENSG00000164889",0.0063983431266091,0.651553026545661,4.0296803885001e-05,118.370177961092
"NBPF12","ENSG00000268043",0.0063983431266091,-0.466826721064212,4.10985536880735e-05,1050.13076216932
"LDHA","ENSG00000134333",0.00659456752123111,0.572825179061156,4.65123044297121e-05,241.016662910649
"GFM1","ENSG00000168827",0.00659456752123111,-0.591804623720044,4.59998977370984e-05,162.276986366327
"RPL21","ENSG00000122026",0.00659456752123111,0.591298969030403,4.68523719436157e-05,325.781505556473
"DSP","ENSG00000096696",0.00659456752123111,0.594558368029044,4.75246915207004e-05,917.687981186295
"TSPAN6","ENSG00000000003",0.00659456752123111,-0.571543407170214,4.5302197774746e-05,225.721981564077
"OTUD1","ENSG00000165312",0.00694014032048802,-0.531295365758747,5.11023962185394e-05,417.173260464551
"NPIPB3","ENSG00000169246",0.00823923429502234,0.663817586851793,6.19588353691168e-05,1707.10924971754
"USP34","ENSG00000115464",0.00843198843904865,-0.599675239605898,6.47293488192674e-05,266.356704027879
"SLC19A2","ENSG00000117479",0.00845067072961522,0.65144436444687,6.61967000596524e-05,174.483009029275
"SPTBN1","ENSG00000115306",0.00866532142194942,-0.55145957712867,7.30372766094443e-05,190.918543981658
"PLEKHF2","ENSG00000175895",0.00866532142194942,-0.410237866976134,7.51014000062711e-05,682.848357532179
"ADSS2","ENSG00000035687",0.00866532142194942,0.431000300796856,7.28717124936973e-05,374.890059158112
"INPPL1","ENSG00000165458",0.00866532142194942,-0.370878401067845,7.37877562283871e-05,865.917595784612
"RPL18A","ENSG00000105640",0.00866532142194942,0.629996171907275,7.60234998635701e-05,121.459295398055
"PREX1","ENSG00000124126",0.00866532142194942,0.831909324186497,7.27130482398107e-05,243.53980343313
"DHDDS","ENSG00000117682",0.0092728556989027,0.894368925976605,8.49397037073874e-05,46.3339393253064
"THG1L","ENSG00000113272",0.0092728556989027,0.621509309171999,8.55348078969214e-05,121.951429863053
"PSMA3","ENSG00000100567",0.0092728556989027,-0.489829219273292,8.57118104708224e-05,1051.29296729074
"SNX17","ENSG00000115234",0.0096347051785605,0.57881189019075,9.0565926792046e-05,142.916509105735
