"gene","ensembl_id","stat","log2FoldChange"
"NULL","",2.9506231075954e-13,-0.524845553145383
"LMAN2","ENSG00000169223",2.09712664081514e-09,0.61314339014958
"ELOB","ENSG00000103363",6.32137349337976e-09,0.544666804563548
"RPL6","ENSG00000089009",1.08449151635461e-08,0.595172160557875
"LAMP1","ENSG00000185896",1.50248456744248e-08,0.516354047216329
"PABPC3","ENSG00000151846",1.77214695542814e-08,-1.58026402335848
"HM13","ENSG00000101294",1.77214695542814e-08,-0.736851527158252
"RPS15","ENSG00000115268",4.24655536819037e-08,0.494756478371108
"DNAJB9","ENSG00000128590",4.24655536819037e-08,-0.844992183262672
"PPIAL4A","ENSG00000263353",2.27399042459322e-07,-0.579050139107283
"CALR","ENSG00000179218",4.45223073975123e-07,-0.510900443036292
"CETN2","ENSG00000147400",6.31234296053742e-07,0.583337516917279
"LLGL2","ENSG00000073350",9.66655444577534e-07,0.44652975559913
"LCN2","ENSG00000148346",1.0286182137167e-06,-0.829527504105576
"SUPT4H1","ENSG00000213246",1.70075728736719e-06,0.571685749203844
"OS9","ENSG00000135506",1.95316770079769e-06,0.742744746755357
"WAC","ENSG00000095787",5.37170715712754e-06,-0.573471413084168
"PRKAG1","ENSG00000181929",5.4088128520563e-06,0.684914759138302
"RAB11FIP3","ENSG00000090565",5.4088128520563e-06,0.945217061088202
"MAPK6","ENSG00000069956",5.4088128520563e-06,-0.501393269182325
"RPS4X","ENSG00000198034",7.88662935906828e-06,0.550831883987757
"RPL9","ENSG00000163682",8.14318408246633e-06,0.518288892812099
"ALKBH5","ENSG00000091542",1.22049800427082e-05,0.939003369140817
"HSP90B1","ENSG00000166598",1.38727162298893e-05,-0.528001765263479
"SLC19A2","ENSG00000117479",1.45801356138296e-05,0.672935055046009
"KRT8","ENSG00000170421",1.48595540902863e-05,0.307115868076033
"NAMPT","ENSG00000105835",1.94307622874492e-05,-0.703707979564833
"UBL5","ENSG00000198258",2.04862207813288e-05,0.442536221490721
"TRIB3","ENSG00000101255",2.20145627463574e-05,-0.466972497806733
"MAGEF1","ENSG00000177383",4.66848904365382e-05,0.428000181872348
"NSDHL","ENSG00000147383",4.66848904365382e-05,-0.376766533260867
"ACTG1","ENSG00000184009",5.83947556577188e-05,-0.453892023049778
"COQ10B","ENSG00000115520",6.52074048810563e-05,-0.839393577537438
"UBAP2L","ENSG00000143569",7.33399220624225e-05,-0.498879737754137
"SLC25A43","ENSG00000077713",8.34950507073902e-05,-0.711717893127618
"ABAT","ENSG00000183044",0.000102888183500709,0.731146490360672
"NDUFA8","ENSG00000119421",0.000123244237882172,0.479802045768936
