Geneid,SRR21043723,SRR21043755,SRR21043696,SRR21043841,SRR21043816,SRR21043814,SRR21043817,SRR21043815
ENSG00000175899,1,0,0,0,0,3,0,0
ENSG00000127837,158,227,274,132,110,122,128,157
ENSG00000090861,294,355,373,189,167,265,185,246
ENSG00000275700,45,71,69,37,23,29,30,23
ENSG00000085563,5,10,11,9,6,8,3,3
ENSG00000023839,72,100,120,51,44,47,38,58
ENSG00000114770,677,1110,948,421,361,546,408,498
ENSG00000164163,33,51,55,21,23,61,28,41
ENSG00000204574,371,445,547,272,241,325,233,283
ENSG00000161204,22,25,21,14,12,11,8,5
ENSG00000160179,4,6,10,4,1,4,6,1
ENSG00000108846,15,22,30,6,10,17,7,17
ENSG00000118777,200,280,311,142,120,202,131,170
ENSG00000163686,12,12,20,9,13,4,7,13
ENSG00000097007,21,22,19,16,10,13,9,8
ENSG00000115361,0,0,0,1,0,0,0,1
ENSG00000120437,60,84,95,44,44,60,29,32
ENSG00000182827,93,109,137,89,65,85,52,75
ENSG00000102977,15,20,20,19,8,11,7,14
ENSG00000159640,3,12,9,7,3,8,6,7
ENSG00000087085,29,43,44,20,22,18,23,21
ENSG00000131473,132,187,194,159,144,137,141,135
ENSG00000123130,1,1,2,1,0,4,1,1
ENSG00000151726,86,84,124,71,74,121,65,70
ENSG00000075624,654,828,1189,573,657,858,808,759
ENSG00000266920,0,2,0,0,0,2,0,2
ENSG00000077522,0,0,0,0,0,0,2,0
ENSG00000131966,183,229,328,170,164,203,171,196
ENSG00000137845,181,269,313,135,205,212,140,226
ENSG00000114948,0,2,3,2,1,3,3,1
ENSG00000087116,0,1,0,0,0,0,0,0
ENSG00000197381,363,524,484,264,257,338,267,329
ENSG00000065457,15,14,27,9,8,7,13,12
ENSG00000163050,32,45,51,32,25,33,34,31
ENSG00000155897,0,0,0,0,0,0,0,0
ENSG00000162104,11,11,12,6,2,4,8,7
ENSG00000187758,0,1,0,0,0,0,0,0
ENSG00000182551,211,208,261,210,142,200,166,176
ENSG00000156110,499,620,661,305,317,449,317,428
ENSG00000148926,15,16,18,12,8,17,13,7
ENSG00000181915,182,200,195,143,116,172,97,126
ENSG00000163485,5,5,6,4,1,2,4,3
ENSG00000128271,2,1,1,0,1,0,4,3
ENSG00000120907,0,0,0,0,0,0,0,2
ENSG00000169252,0,0,4,0,1,2,3,2
ENSG00000173020,73,96,102,77,45,52,52,62
ENSG00000239900,1,2,1,1,0,1,2,0
ENSG00000169129,3,2,5,7,3,6,2,3
ENSG00000183077,20,32,40,20,21,28,15,18
ENSG00000081051,0,0,0,1,0,0,0,0
ENSG00000162688,38,71,70,42,26,41,35,47
ENSG00000169692,108,137,165,85,77,95,72,90
ENSG00000138678,11,10,25,11,14,17,7,12
ENSG00000188157,1094,1427,1361,791,846,1082,729,880
ENSG00000135744,0,0,0,0,0,0,0,0
ENSG00000144891,0,0,0,0,0,2,0,1
ENSG00000177674,26,35,41,37,32,34,21,28
ENSG00000156709,225,278,325,169,144,214,139,162
ENSG00000163568,0,0,0,0,0,0,0,0
ENSG00000197976,31,48,62,25,28,40,32,38
ENSG00000105127,272,352,397,192,196,304,181,232
ENSG00000011243,18,33,29,22,8,24,12,14
ENSG00000085662,0,3,0,1,0,0,1,0
ENSG00000187134,2,5,5,6,6,8,2,4
ENSG00000196139,153,181,298,174,111,136,158,112
ENSG00000122787,2,2,0,0,0,1,5,0
ENSG00000142208,2477,3863,3957,2006,2074,2868,1990,2424
ENSG00000105221,45,33,36,20,17,29,15,20
ENSG00000117020,0,0,0,0,0,0,0,1
ENSG00000163631,0,0,0,0,0,0,0,0
ENSG00000059573,9,5,12,11,4,14,14,14
ENSG00000165092,0,0,0,0,0,0,0,0
ENSG00000111275,1,1,3,1,2,3,0,3
ENSG00000159423,79,102,86,37,42,47,48,51
ENSG00000164904,3,3,0,1,1,0,0,0
ENSG00000143149,32,72,77,39,39,50,42,45
ENSG00000149925,1730,2147,2552,1257,1477,2045,1145,1703
ENSG00000109107,5,3,5,7,7,7,4,9
ENSG00000253710,34,53,84,24,19,49,35,33
ENSG00000159063,0,2,2,1,3,4,2,4
ENSG00000162551,0,0,0,0,0,0,2,0
ENSG00000123505,118,142,189,131,99,170,100,138
ENSG00000162066,165,232,206,105,73,160,102,131
ENSG00000144233,65,101,128,64,49,64,58,78
ENSG00000243480,3,1,3,3,1,3,2,4
ENSG00000214174,5,9,14,6,7,17,10,8
ENSG00000153107,108,126,139,62,52,99,47,92
ENSG00000141552,24,32,49,20,11,30,13,20
ENSG00000089053,929,1440,1646,811,820,1147,788,912
ENSG00000088448,572,785,789,377,442,576,386,556
ENSG00000132466,10,20,14,14,8,5,7,5
ENSG00000215559,5,8,7,3,2,5,2,8
ENSG00000251056,31,63,46,20,22,36,27,23
ENSG00000206192,0,1,0,0,0,0,2,0
ENSG00000105186,169,227,230,95,118,174,88,116
ENSG00000196912,22,31,15,5,7,18,16,14
ENSG00000160746,88,123,146,56,59,82,44,76
ENSG00000164111,529,602,819,464,442,636,404,602
ENSG00000138279,150,202,236,159,145,152,153,172
ENSG00000166747,106,168,198,94,64,110,107,70
ENSG00000106367,829,1106,1037,645,507,714,582,571
ENSG00000183020,13,22,14,13,12,8,11,7
ENSG00000161203,21,26,20,16,5,13,14,11
ENSG00000132842,98,157,169,82,97,107,103,94
ENSG00000221838,35,49,48,34,22,40,32,25
ENSG00000011132,12,12,20,12,10,20,9,17
ENSG00000163697,153,208,210,141,143,186,161,177
ENSG00000171388,0,0,1,0,0,0,1,1
ENSG00000110244,1,1,0,0,0,1,1,1
ENSG00000239713,0,0,0,0,0,1,1,0
ENSG00000110245,0,0,0,0,0,0,0,0
ENSG00000189058,64,111,142,72,85,80,71,69
ENSG00000130203,1,0,0,1,0,2,1,0
ENSG00000184831,47,58,69,44,34,44,23,30
ENSG00000256053,311,435,560,277,292,447,247,383
ENSG00000142192,298,478,546,233,234,432,210,362
ENSG00000062725,2544,3541,3755,2019,2002,2996,2263,2718
ENSG00000157500,5,3,1,4,1,2,4,8
ENSG00000165272,19,12,18,12,8,12,18,9
ENSG00000086159,0,0,3,0,0,1,0,0
ENSG00000103569,0,0,0,0,0,0,0,0
ENSG00000109321,33,31,54,26,40,51,28,32
ENSG00000143761,47,53,61,55,31,74,52,44
ENSG00000004059,19,11,16,14,10,20,12,16
ENSG00000101199,142,209,230,154,122,165,128,142
ENSG00000242247,40,43,58,30,25,50,30,33
ENSG00000124198,241,280,281,167,123,227,165,165
ENSG00000132254,75,99,101,85,52,91,53,71
ENSG00000134884,241,299,323,179,252,282,208,265
ENSG00000175220,23,20,34,18,18,26,22,22
ENSG00000147256,1,0,2,0,0,0,0,0
ENSG00000196914,272,389,400,171,205,317,206,273
ENSG00000116584,27,28,49,29,26,24,19,21
ENSG00000129675,0,1,0,0,0,0,0,0
ENSG00000131089,82,100,121,71,44,53,49,66
ENSG00000054267,291,412,520,217,175,285,224,272
ENSG00000182196,345,556,591,291,290,466,254,370
ENSG00000144746,168,236,228,136,101,135,102,117
ENSG00000241553,27,29,37,33,6,23,20,11
ENSG00000162704,33,40,61,42,42,60,46,50
ENSG00000136950,279,365,402,215,185,212,155,199
ENSG00000128989,218,230,372,229,188,220,225,232
ENSG00000157399,0,0,0,0,0,0,0,0
ENSG00000104763,20,38,49,23,33,33,26,36
ENSG00000102048,41,25,37,23,20,31,20,22
ENSG00000112249,156,268,241,111,153,201,156,180
ENSG00000198356,99,141,163,108,76,115,63,87
ENSG00000066279,0,2,2,2,1,3,0,0
ENSG00000106819,1,0,2,1,2,2,1,2
ENSG00000123268,4,8,3,1,4,7,1,9
ENSG00000162772,9,3,7,1,4,7,7,13
ENSG00000169136,101,134,147,79,78,89,64,94
ENSG00000118217,56,77,61,38,47,58,31,58
ENSG00000213676,199,218,218,191,159,194,137,179
ENSG00000144848,143,178,219,142,137,188,148,173
ENSG00000138363,170,212,224,143,107,104,95,96
ENSG00000166454,110,166,181,96,137,158,113,139
ENSG00000145246,0,1,1,0,0,0,0,0
ENSG00000058063,96,128,149,77,73,91,63,93
ENSG00000143153,318,451,489,294,255,384,228,298
ENSG00000017260,240,327,359,133,114,244,182,159
ENSG00000165629,2876,3741,4518,2608,2075,2860,1706,2449
ENSG00000099624,79,141,137,82,40,63,61,51
ENSG00000135390,804,940,1252,810,676,986,646,857
ENSG00000154518,293,329,311,258,223,241,182,223
ENSG00000167863,1041,1303,1837,1094,969,1311,850,1100
ENSG00000169020,1003,1279,1525,950,1077,1396,858,1163
ENSG00000241468,179,232,247,182,131,199,219,172
ENSG00000106246,9,9,9,2,12,8,3,2
ENSG00000241837,701,916,1064,703,420,660,417,620
ENSG00000125375,19,25,32,20,17,30,19,21
ENSG00000033627,5,8,6,3,7,2,2,4
ENSG00000117410,15,13,16,11,8,10,10,10
ENSG00000185883,204,283,362,238,271,343,318,264
ENSG00000159720,1067,1356,1715,969,820,1106,645,919
ENSG00000100554,399,550,657,341,319,471,273,425
ENSG00000066427,173,182,270,129,120,172,122,165
ENSG00000087586,20,27,25,13,12,18,16,14
ENSG00000178999,19,28,31,17,21,16,15,18
ENSG00000155096,96,103,130,64,47,98,63,86
ENSG00000166710,260,270,387,242,295,354,168,288
ENSG00000183778,38,51,62,27,33,43,48,25
ENSG00000109956,0,0,0,0,0,0,0,0
ENSG00000174684,0,0,0,0,0,0,0,0
ENSG00000086062,1,2,2,0,4,3,2,4
ENSG00000158470,8,10,5,12,6,5,5,4
ENSG00000027847,103,121,121,73,84,91,68,85
ENSG00000136881,3,6,3,2,2,2,1,5
ENSG00000186318,58,78,90,52,34,43,28,36
ENSG00000182240,1,15,8,5,9,8,8,3
ENSG00000002330,4,4,3,4,2,2,6,0
ENSG00000151929,271,300,409,252,204,258,211,274
ENSG00000204463,293,352,451,247,205,322,226,257
ENSG00000030110,1,8,10,3,6,9,8,6
ENSG00000095739,1413,1929,1957,1281,1120,1509,1147,1407
ENSG00000175334,84,97,132,120,113,143,74,93
ENSG00000105327,639,817,878,488,479,831,515,715
ENSG00000185825,424,579,568,299,277,382,259,317
ENSG00000105552,15,11,20,10,15,17,11,10
ENSG00000127152,34,36,38,12,15,16,20,19
ENSG00000171791,9,19,14,15,8,19,14,11
ENSG00000171552,883,1266,1279,583,635,985,684,824
ENSG00000153094,354,436,551,269,300,410,289,391
ENSG00000099968,164,225,230,125,123,202,148,158
ENSG00000129473,47,96,93,38,45,45,37,53
ENSG00000258643,39,52,68,25,26,33,28,23
ENSG00000069399,244,341,377,163,135,233,200,196
ENSG00000106635,22,35,38,19,13,19,11,20
ENSG00000161267,22,24,31,12,18,32,21,11
ENSG00000176697,1,0,0,0,0,0,0,0
ENSG00000126581,95,140,134,66,75,80,70,73
ENSG00000134107,39,47,48,44,42,58,47,36
