"Gene","Log2FC","Regulation"
"PRSS23",0.642980382013533,"Upregulated"
"PDZK1",3.33026527612589,"Upregulated"
"RET",1.37715678774201,"Upregulated"
"IGFBP4",1.15491073750353,"Upregulated"
"RAB31",1.25148504495041,"Upregulated"
"GREB1",3.02782477366035,"Upregulated"
"SNX24",0.264544802145355,"Upregulated"
"PGR",2.73109690824578,"Upregulated"
"CXCL12",1.30079569341805,"Upregulated"
"TPD52L1",1.1886114105617,"Upregulated"
"RAPGEFL1",1.72212398415521,"Upregulated"
"NRIP1",0.909992269338996,"Upregulated"
"NPY1R",1.4818386924565,"Upregulated"
"XBP1",0.983496549155589,"Upregulated"
"FKBP5",0.993055793936342,"Upregulated"
"CA12",0.911085469930525,"Upregulated"
"MYB",1.56094145091464,"Upregulated"
"GAB2",0.501685238645235,"Upregulated"
"ZNF703",1.05120049150024,"Upregulated"
"AREG",1.99083022984164,"Upregulated"
"DEPTOR",1.22045761448182,"Upregulated"
"RARA",0.252097698906665,"Upregulated"
"MYC",0.439019435298756,"Upregulated"
"RCL1",0.315138722386671,"Upregulated"
"KLF10",0.21056686885983,"Upregulated"
"CD44",0.208538466140349,"Upregulated"
"TPBG",0.675463870971125,"Upregulated"
"MAPT",1.0159134183147,"Upregulated"
"IER3",-0.324155862850372,"Downregulated"
"PIK3R1",-0.0601355979351827,"Downregulated"
"MYOF",0.599294925589504,"Upregulated"
"ADCY1",0.707050694132203,"Upregulated"
"BAMBI",-0.584332149725951,"Downregulated"
"ATP2B1",-0.218545544551472,"Downregulated"
"RAB26",-0.792886461582728,"Downregulated"
"TSC22D3",-0.134962001062928,"Downregulated"
"TCF7L2",-1.08061034478414,"Downregulated"
"IL1R1",-2.05600755882934,"Downregulated"
"EFNA1",-0.279937712944927,"Downregulated"
"PKP2",-0.0605885192661482,"Downregulated"
"LIMA1",-0.255101400686742,"Downregulated"
"RAB27B",-0.917845675907352,"Downregulated"
"ST8SIA4",-1.44248049595276,"Downregulated"
