Run,batch
SRR21043274,Plate 2A index F
SRR21043513,Plate 2B index H
SRR21043596,Plate 2D index G
SRR21043934,Plate 2C index E
SRR21043816,Plate 2B index H
SRR21043814,Plate 2B index H
SRR21043817,Plate 2B index H
SRR21043815,Plate 2B index H
