"gene","ensembl_id","stat","log2FoldChange"
"CBX6","ENSG00000183741",2.16253460331379e-05,-0.735753321249924
"GRHL3","ENSG00000158055",2.28836579258675e-05,-0.958847008812145
"IL1R1","ENSG00000115594",2.41256712125692e-05,-1.40338324068032
"FLNB","ENSG00000136068",2.59877879554241e-05,0.544501506718604
"UBAP2L","ENSG00000143569",2.63570124110255e-05,-0.678593981761956
"SLC25A6","ENSG00000169100",2.86623292850877e-05,-0.58068467310819
"BCLAF1","ENSG00000029363",3.24117597306741e-05,-0.620456439069404
"EPB41L5","ENSG00000115109",3.88798649285223e-05,-0.492490835496901
"HMGCS1","ENSG00000112972",3.88798649285223e-05,0.724185754805054
"NOS1AP","ENSG00000198929",4.01970744507132e-05,0.803288500116701
"SFPQ","ENSG00000116560",4.06965070398319e-05,-0.87804248853201
"NPNT","ENSG00000168743",4.42977175956668e-05,-0.793610774887981
"IMPDH2","ENSG00000178035",4.49036036071041e-05,0.728326106415227
"FMN1","ENSG00000248905",4.6946954313012e-05,0.572332372176896
"RPS6KB1","ENSG00000108443",5.29256622601072e-05,-0.538100884496453
"LDOC1","ENSG00000182195",5.60465510241365e-05,-0.825312607526658
"FOXP2","ENSG00000128573",5.95144304186485e-05,-0.680960226423811
"LTBR","ENSG00000111321",5.95144304186485e-05,-0.612229233601742
"UCP2","ENSG00000175567",6.67281856149089e-05,0.676067254448088
"EPB41L1","ENSG00000088367",6.67281856149089e-05,0.894242261762086
"SNRPC","ENSG00000124562",7.47189435330939e-05,-0.730527175135331
"SCUBE2","ENSG00000175356",7.54016368684693e-05,1.00413673859347
"KIF2C","ENSG00000142945",7.54915582270634e-05,1.82867400846828
"RPS27A","ENSG00000143947",7.54915582270634e-05,-0.703993397610756
"SCCPDH","ENSG00000143653",8.28943405623575e-05,-0.793677565884839
"CD47","ENSG00000196776",8.30681197999665e-05,-0.602696093905655
"CETN2","ENSG00000147400",8.67500060898175e-05,0.703245914502618
"CENPK","ENSG00000123219",9.31100204615363e-05,1.06339690346031
"P4HA1","ENSG00000122884",9.40122711855499e-05,1.38477315844611
"KDM5C","ENSG00000126012",9.55717073373815e-05,0.577542431580935
"AKR1C3","ENSG00000196139",9.76143006962552e-05,-1.10125921915817
"HSPA5","ENSG00000044574",9.98316259619096e-05,0.735639623966356
"AREG","ENSG00000109321",0.000101237129191245,1.23554342120246
"THG1L","ENSG00000113272",0.000101237129191245,0.895901297468777
"ATG101","ENSG00000123395",0.00010639629917252,0.803311994964417
"RPN1","ENSG00000163902",0.000108733313153854,0.497867843718287
"KICS2","ENSG00000174206",0.000109056350406512,1.25899570518085
"HMGB2","ENSG00000164104",0.000110831083929446,0.920100090634774
"TYMS","ENSG00000176890",0.000112778706113719,0.801193765471704
