"gene","ensembl_id","stat","log2FoldChange"
"TFF1","ENSG00000160182",3.00047098549042e-52,2.0029013562348
"GREB1","ENSG00000196208",5.23604975741887e-43,2.89003386164104
"PRR11","ENSG00000068489",2.82756396727713e-26,1.73184961193637
"CDK1","ENSG00000170312",1.51438353176161e-22,1.76562416333468
"TPD52L1","ENSG00000111907",3.55679446420971e-22,1.14091419261666
"ARHGAP11A","ENSG00000198826",6.20873909554358e-22,1.761003434599
"CELSR2","ENSG00000143126",1.20474599935242e-21,1.30954188020232
"KRT81","ENSG00000205426",6.08375056400781e-19,-1.1741954157162
"NPY1R","ENSG00000164128",2.70012926531828e-17,1.11623491332384
"PSCA","ENSG00000167653",3.06015322349698e-17,-1.64923436623429
"HMMR","ENSG00000072571",4.20600435204342e-17,1.56158376058086
"AGR2","ENSG00000106541",7.00227874710589e-17,1.17880967027673
"CLIP4","ENSG00000115295",3.37696537309522e-16,-1.66400859175687
"CALCR","ENSG00000004948",9.96237244146912e-16,1.48947357309201
"RET","ENSG00000165731",4.09918562170823e-15,1.95400280452639
"RAPGEFL1","ENSG00000108352",6.9600858676459e-14,1.57969451274563
"POGLUT3","ENSG00000178202",6.97235567989469e-14,-1.64333157528539
"BCAS1","ENSG00000064787",9.23510659983056e-14,-1.75456416069737
"H4C1","ENSG00000278637",1.55695130753148e-13,1.37981904727464
"HMGB2","ENSG00000164104",1.73426261144133e-13,1.25687214773493
"CENPI","ENSG00000102384",2.46364208369268e-13,1.61935086738062
"PGR","ENSG00000082175",7.18672728826777e-13,1.97641641408607
"FAM107B","ENSG00000065809",8.70097468077228e-13,-1.1753129842934
"KRT15","ENSG00000171346",8.70097468077228e-13,1.48299684346407
"LACTB","ENSG00000103642",1.01949751971683e-12,-0.853842757348325
"PRC1","ENSG00000198901",1.48731254144982e-12,1.60718402284511
"SFXN2","ENSG00000156398",2.13385595099032e-12,2.5735199866949
"SDK2","ENSG00000069188",2.13385595099032e-12,2.49059050589931
"AOX1","ENSG00000138356",2.13385595099032e-12,-1.96226270984755
"KIF2C","ENSG00000142945",3.23668747453067e-12,2.20624190871072
"CCNB1","ENSG00000134057",4.40194713591495e-12,1.43200186214544
"TMEM164","ENSG00000157600",5.69687384304166e-12,2.31184767952264
"XBP1","ENSG00000100219",6.14212813365046e-12,1.20845521056934
"H3C7","ENSG00000277775",7.89934159450303e-12,1.9926326632548
"MYB","ENSG00000118513",9.32737149249126e-12,1.26813593051583
"AREG","ENSG00000109321",1.016570775686e-11,1.70135409440979
"PDZK1","ENSG00000174827",1.08040623551188e-11,2.59055059871758
"CEP55","ENSG00000138180",1.24453707797688e-11,1.91552410582408
"LMBR1","ENSG00000105983",2.44939088845431e-11,1.28224731862868
"KIF11","ENSG00000138160",5.42832582233095e-11,1.57757915814128
"ARL3","ENSG00000138175",5.42832582233095e-11,0.833114599087641
"TST","ENSG00000128311",7.18767401880527e-11,1.34460369176408
"TBC1D9","ENSG00000109436",1.11718768393349e-10,-0.798308755394422
"TUBA1B","ENSG00000123416",3.12044132774977e-10,1.2264619289655
"TOP2A","ENSG00000131747",3.19141212427345e-10,2.07591479065516
"RPL7A","ENSG00000148303",3.19364765370484e-10,0.866822406719601
"TMED8","ENSG00000100580",3.19364765370484e-10,1.60401245696188
"NUSAP1","ENSG00000137804",3.76950743742299e-10,1.5225718800039
"SPC24","ENSG00000161888",5.46796087274177e-10,2.52397427013195
"MKI67","ENSG00000148773",6.32865101804827e-10,1.38824129413583
"FAM72A","ENSG00000196550",7.12403923826281e-10,1.59345414255062
"SALL4","ENSG00000101115",1.08840073191812e-09,-1.2364913865536
"OTUD1","ENSG00000165312",1.46802203701854e-09,-0.873646679128289
"CCNB2","ENSG00000157456",1.48793962618765e-09,1.57422857578414
