"gene","stat"
"ENSG00000196208",2.89003386164104
"ENSG00000174827",2.59055059871758
"ENSG00000156398",2.5735199866949
"ENSG00000161888",2.52397427013195
"ENSG00000069188",2.49059050589931
"ENSG00000124749",2.34918831636541
"ENSG00000157600",2.31184767952264
"ENSG00000142945",2.20624190871072
"ENSG00000088325",2.12923576858228
"ENSG00000131747",2.07591479065516
"ENSG00000274267",2.07124761657386
"ENSG00000160182",2.0029013562348
"ENSG00000189057",1.99834126374289
"ENSG00000112984",1.99376747365728
"ENSG00000277775",1.9926326632548
"ENSG00000082175",1.97641641408607
"ENSG00000183856",1.96355094640896
"ENSG00000152253",1.96173904128707
"ENSG00000165731",1.95400280452639
"ENSG00000024526",1.92977331791643
"ENSG00000138180",1.91552410582408
"ENSG00000100526",1.79681865493328
"ENSG00000170312",1.76562416333468
"ENSG00000198826",1.761003434599
"ENSG00000145386",1.75461822171073
"ENSG00000166851",1.75438376359427
"ENSG00000171848",1.74111760094562
"ENSG00000263513",1.73261031892979
"ENSG00000068489",1.73184961193637
"ENSG00000109321",1.70135409440979
"ENSG00000169679",1.68907335823482
"ENSG00000171241",1.66912287028302
"ENSG00000119403",1.66094141373658
"ENSG00000127564",1.65522556362324
"ENSG00000165304",1.6418577789064
"ENSG00000185697",1.63299527466679
"ENSG00000284906",1.62864297631298
"ENSG00000278272",1.62719888093502
"ENSG00000169607",1.62602147598927
"ENSG00000102384",1.61935086738062
"ENSG00000122966",1.61670071604616
"ENSG00000198901",1.60718402284511
"ENSG00000100580",1.60401245696188
"ENSG00000173467",1.60124551754606
"ENSG00000118193",1.597105368496
"ENSG00000196550",1.59345414255062
"ENSG00000108352",1.57969451274563
"ENSG00000138160",1.57757915814128
"ENSG00000144554",1.57462482474671
"ENSG00000157456",1.57422857578414
"ENSG00000109805",1.57118071039595
"ENSG00000072571",1.56158376058086
"ENSG00000065328",1.55760934679571
"ENSG00000102362",1.55177924771134
"ENSG00000130045",1.54900542880494
"ENSG00000107819",1.54128513986114
"ENSG00000137804",1.5225718800039
"ENSG00000064205",1.51793978009459
"ENSG00000131153",1.5101966309531
"ENSG00000135549",1.50766713326699
"ENSG00000137812",1.49320341687362
"ENSG00000004948",1.48947357309201
"ENSG00000171346",1.48299684346407
"ENSG00000113739",1.48269326755584
"ENSG00000147041",1.48024982790631
"ENSG00000164611",1.47229998497079
"ENSG00000237649",1.45708640295417
"ENSG00000143476",1.44421325991467
"ENSG00000140534",1.43764627864133
"ENSG00000126787",1.43654052465594
"ENSG00000141753",1.43633861374012
"ENSG00000144290",1.4357390998084
"ENSG00000134057",1.43200186214544
"ENSG00000104147",1.43119734135951
"ENSG00000197977",1.42191244024371
"ENSG00000184357",1.41342548355715
"ENSG00000128944",1.41062557096375
"ENSG00000143228",1.40742680549382
"ENSG00000137563",1.39910578048694
"ENSG00000117650",1.39323484763158
"ENSG00000076242",1.39148488313161
"ENSG00000148773",1.38824129413583
"ENSG00000011426",1.38655103123454
"ENSG00000076555",1.38550676492831
"ENSG00000278637",1.37981904727464
"ENSG00000139352",1.36383011403989
"ENSG00000203811",1.36159104038518
"ENSG00000138778",1.35114882274486
"ENSG00000128311",1.34460369176408
"ENSG00000107562",1.34222919041292
