Run,batch
SRR21043408,Plate 1D index H
SRR21043541,Plate 1B index G
SRR21043573,Plate 1A index E
SRR21043959,Plate 1C index F
SRR21043816,Plate 2B index H
SRR21043814,Plate 2B index H
SRR21043817,Plate 2B index H
SRR21043815,Plate 2B index H
