"gene","ensembl_id","stat","log2FoldChange","pvalue","baseMean"
"LCN2","ENSG00000148346",0,5.88779589087082,0,8087.53329245452
"WSB1","ENSG00000109046",1.38515392458333e-200,2.94626646559755,3.14628943687298e-204,1027.25930803197
"SLC12A2","ENSG00000064651",6.03701855588723e-195,-2.93862121813014,2.05690581120519e-198,834.143889192719
"ESR1","ENSG00000091831",2.31851178460056e-193,-3.19999434583343,1.05327054382763e-196,674.702053919878
"EVL","ENSG00000196405",2.72039390365162e-192,-3.02039263208453,1.5448006267187e-195,949.134790003247
"TBC1D9","ENSG00000109436",1.63817516974587e-189,-3.28448615797798,1.11630335246738e-192,1121.5091001063
"MAP1LC3B","ENSG00000140941",2.29707952949096e-161,1.89883867395383,1.8261847480337e-164,3381.81865567642
"SLC3A2","ENSG00000168003",1.78185982801095e-141,1.95628238433852,1.61895271142392e-144,2783.92128377261
"HMOX1","ENSG00000100292",7.70986885924081e-141,4.11701461267649,7.8806155290366e-144,297.201884153798
"DNAJB11","ENSG00000090520",7.27290256772995e-140,2.24015376209705,8.25996884466775e-143,1163.06895573602
"TACSTD2","ENSG00000184292",2.64910679894958e-133,-2.73484492980338,3.30950309919879e-136,780.639502979173
"KITLG","ENSG00000049130",3.9438467509756e-127,-3.42116766615908,5.37491891104e-130,369.153763187347
"HSP90B1","ENSG00000166598",1.55530659641214e-123,2.45003665037038,2.2963072973717e-126,2012.72622980146
"PPP1R15A","ENSG00000087074",1.91879778343566e-122,2.80196686745672,3.05089937173188e-125,692.202185179751
"SEC13","ENSG00000157020",2.99033048864281e-108,1.7770549509358,5.09425977622285e-111,1893.95962552275
"NPY1R","ENSG00000164128",2.18038464403066e-107,-2.73129179268576,3.96208453202619e-110,348.846246872635
"SAT1","ENSG00000130066",2.33613227144324e-106,2.65926266399472,4.51042005843669e-109,524.682278299067
"PBX1","ENSG00000185630",2.0253996534944e-100,-3.3177897431129,4.14051036489486e-103,273.914372277117
"SPTY2D1","ENSG00000179119",3.70456331920174e-99,1.87865019329086,7.99394696931665e-102,746.360161478382
"SYTL2","ENSG00000137501",9.27631981613063e-99,-4.83403943079492,2.1070573120115e-101,199.24470263444
"FKBP11","ENSG00000134285",1.05161923542903e-94,2.79066685172668,2.50812083407265e-97,290.865885853551
"RDX","ENSG00000137710",7.88534763998635e-93,-2.709605663613,1.97021746825326e-95,429.428343266216
"DDIT3","ENSG00000175197",8.88834542207692e-92,2.05968236510347,2.32177109264928e-94,1173.55340080772
"GCLM","ENSG00000023909",2.24973169630956e-91,1.9236756568481,6.13214772418278e-94,694.069572267014
"SLC6A14","ENSG00000268104",3.41085787257792e-91,-4.2257067377167,9.68443461833594e-94,192.528954693427
"TMED2","ENSG00000086598",3.18671403531892e-89,1.65942628333537,9.40994490838069e-92,1614.73034171488
"RNFT1","ENSG00000189050",2.60842332769408e-88,2.32807383238915,7.99857238475187e-91,444.530595883965
"EEIG2","ENSG00000162636",1.81494799306042e-87,-2.83899623307154,5.77155523062938e-90,308.674332351595
"DCDC2","ENSG00000146038",9.21837685623171e-87,-2.30392459598058,3.03614910653855e-89,394.574806258483
"ERRFI1","ENSG00000116285",1.75342650981636e-86,1.82407747326589,5.97419594485984e-89,744.06494326617
"RBL2","ENSG00000103479",3.82682528247809e-84,-2.7520575608329,1.34732065595481e-86,251.129260660952
"ARID5B","ENSG00000150347",2.33399991212315e-83,-2.28229029471353,8.4824528322477e-86,340.566590669976
"ZNF165","ENSG00000197279",2.58076836134878e-83,1.91623054260765,9.67238568137533e-86,585.649170869181
"CD9","ENSG00000010278",1.86494203960238e-81,-2.25148904115887,7.2013661949439e-84,483.015559071653
"FLNB","ENSG00000136068",1.95146477030368e-80,-1.65830415837619,7.7571001658863e-83,848.414414760716
"AKT1","ENSG00000142208",2.97857215194284e-78,-1.46564703561132,1.24694654325758e-80,1539.87086862384
"SNHG32","ENSG00000204387",2.97857215194284e-78,1.73529507860717,1.25164303943084e-80,1699.6477234013
"RNF43","ENSG00000108375",4.73563084434102e-78,-3.26901035683142,2.0437702678587e-80,177.752110669599
"MLPH","ENSG00000115648",4.79410881395007e-78,-1.39327871724088,2.12345535200514e-80,7072.34306506691
"SRP54","ENSG00000100883",2.65549607619523e-77,1.44721676172509,1.20635824017955e-79,1516.28965047967
"CLIC3","ENSG00000169583",1.14684710985404e-73,-2.27530838092368,5.34023072163721e-76,401.2227465937
"HSPA6","ENSG00000173110",1.20036669748176e-73,3.79088809283088,5.7257695961651e-76,136.006352526073
"DTNA","ENSG00000134769",1.5553533930845e-73,-1.65862106190321,7.59570651932236e-76,710.060126508103
"DKK1","ENSG00000107984",1.59594023162462e-73,-3.22218498026366,7.97516981163921e-76,224.490019713829
"CTNND2","ENSG00000169862",2.53580277321899e-73,-3.67116833592646,1.2959809743879e-75,143.3844917352
"FTH1","ENSG00000167996",2.74138330314325e-73,1.59047404949236,1.43218207773526e-75,16435.8631270516
"C1orf21","ENSG00000116667",3.23626728281733e-73,-2.01232764127302,1.72747941274747e-75,417.53308081422
"FAM83B","ENSG00000168143",8.74006867411167e-73,-2.02182590770073,4.76460302506939e-75,432.94755660749
"SPTSSB","ENSG00000196542",9.23471097689358e-72,-2.47694244723767,5.1391350126949e-74,2159.67898485814
"MRPS10","ENSG00000048544",9.67552707943313e-72,1.57827641346796,5.49433678559519e-74,736.466193641361
"SLC7A5","ENSG00000103257",6.0950185601536e-71,1.58624443780597,3.53033443007193e-73,1447.07537362904
"ATP9A","ENSG00000054793",1.26684251582858e-70,-1.57495212190668,7.48163666360999e-73,659.107746784622
"MDM2","ENSG00000135679",4.40778172549323e-69,1.15957599099235,2.65317923283522e-71,4425.70161032625
"WARS1","ENSG00000140105",9.28664833784422e-69,2.21781992563392,5.69538909987039e-71,528.990583535363
"ZNF841","ENSG00000197608",2.92459953574443e-68,1.52281879193867,1.82683673442298e-70,895.816133017125
"YPEL3","ENSG00000090238",5.9181032002712e-68,-2.3885655477321,3.76392707796919e-70,505.052586921138
