"Gene","Log2FC","Regulation"
"PRSS23",0.279789972327854,"Upregulated"
"PDZK1",3.1314385771534,"Upregulated"
"RET",1.75261923252274,"Upregulated"
"IGFBP4",0.92581277245981,"Upregulated"
"RAB31",0.943356443283211,"Upregulated"
"GREB1",2.97421308648306,"Upregulated"
"SNX24",0.379757945222658,"Upregulated"
"PGR",2.62101616416557,"Upregulated"
"CXCL12",1.48678070237788,"Upregulated"
"TPD52L1",1.18507443537807,"Upregulated"
"RAPGEFL1",1.85997363834728,"Upregulated"
"NRIP1",0.872469680943276,"Upregulated"
"NPY1R",1.45190682612425,"Upregulated"
"XBP1",0.863755581483755,"Upregulated"
"FKBP5",1.00893804128531,"Upregulated"
"CA12",0.835168342677458,"Upregulated"
"MYB",1.4975880708551,"Upregulated"
"GAB2",0.657684419581047,"Upregulated"
"ZNF703",1.07270689280673,"Upregulated"
"AREG",1.95212153684402,"Upregulated"
"DEPTOR",1.24446269236846,"Upregulated"
"RARA",0.227687073716062,"Upregulated"
"MYC",0.265368979356925,"Upregulated"
"RCL1",0.486433848018576,"Upregulated"
"KLF10",0.116923238339531,"Upregulated"
"CD44",0.395599504121596,"Upregulated"
"TPBG",0.71704056263777,"Upregulated"
"MAPT",0.703176800109193,"Upregulated"
"IER3",-0.368438741352038,"Downregulated"
"PIK3R1",0.0601352051207755,"Upregulated"
"MYOF",0.635565828062642,"Upregulated"
"ADCY1",0.631229437448597,"Upregulated"
"BAMBI",-0.520607281830196,"Downregulated"
"ATP2B1",-0.123973162882617,"Downregulated"
"RAB26",-0.631278617836095,"Downregulated"
"TSC22D3",-0.355235275660321,"Downregulated"
"TCF7L2",-0.832285943939193,"Downregulated"
"IL1R1",-1.67983853616905,"Downregulated"
"EFNA1",-0.17444549656854,"Downregulated"
"PKP2",-0.0813657184774017,"Downregulated"
"LIMA1",-0.982377256642925,"Downregulated"
"RAB27B",-0.806939394632076,"Downregulated"
"ST8SIA4",-1.02946231726625,"Downregulated"
