Geneid,SRR21043326,SRR21043401,SRR21043795,SRR21043952,SRR21043816,SRR21043814,SRR21043817,SRR21043815
ENSG00000175899,2,1,0,1,0,3,0,0
ENSG00000127837,155,233,146,232,110,122,128,157
ENSG00000090861,314,280,265,349,167,265,185,246
ENSG00000275700,40,46,44,54,23,29,30,23
ENSG00000085563,6,12,1,9,6,8,3,3
ENSG00000023839,48,116,51,98,44,47,38,58
ENSG00000114770,544,802,570,970,361,546,408,498
ENSG00000164163,46,35,52,57,23,61,28,41
ENSG00000204574,327,444,341,499,241,325,233,283
ENSG00000161204,11,16,21,28,12,11,8,5
ENSG00000160179,3,6,3,3,1,4,6,1
ENSG00000108846,17,20,20,21,10,17,7,17
ENSG00000118777,203,238,173,248,120,202,131,170
ENSG00000163686,9,15,15,9,13,4,7,13
ENSG00000097007,12,17,17,21,10,13,9,8
ENSG00000115361,0,0,0,0,0,0,0,1
ENSG00000120437,67,68,51,77,44,60,29,32
ENSG00000182827,89,113,92,140,65,85,52,75
ENSG00000102977,10,16,12,31,8,11,7,14
ENSG00000159640,1,14,2,7,3,8,6,7
ENSG00000087085,32,57,29,40,22,18,23,21
ENSG00000131473,122,166,153,223,144,137,141,135
ENSG00000123130,4,3,5,4,0,4,1,1
ENSG00000151726,94,98,100,109,74,121,65,70
ENSG00000075624,757,984,682,958,657,858,808,759
ENSG00000266920,1,1,3,0,0,2,0,2
ENSG00000077522,0,0,0,0,0,0,2,0
ENSG00000131966,223,245,206,295,164,203,171,196
ENSG00000137845,201,229,220,228,205,212,140,226
ENSG00000114948,1,0,0,0,1,3,3,1
ENSG00000087116,0,0,0,0,0,0,0,0
ENSG00000197381,285,479,349,557,257,338,267,329
ENSG00000065457,15,17,18,12,8,7,13,12
ENSG00000163050,25,41,35,62,25,33,34,31
ENSG00000155897,0,0,0,0,0,0,0,0
ENSG00000162104,9,11,17,7,2,4,8,7
ENSG00000187758,0,1,0,0,0,0,0,0
ENSG00000182551,201,216,197,292,142,200,166,176
ENSG00000156110,461,571,507,629,317,449,317,428
ENSG00000148926,9,12,15,17,8,17,13,7
ENSG00000181915,151,206,141,187,116,172,97,126
ENSG00000163485,2,2,3,6,1,2,4,3
ENSG00000128271,2,0,1,1,1,0,4,3
ENSG00000120907,0,0,0,0,0,0,0,2
ENSG00000169252,3,2,0,0,1,2,3,2
ENSG00000173020,59,86,72,81,45,52,52,62
ENSG00000239900,0,0,1,2,0,1,2,0
ENSG00000169129,3,3,2,7,3,6,2,3
ENSG00000183077,33,33,18,28,21,28,15,18
ENSG00000081051,0,0,0,0,0,0,0,0
ENSG00000162688,40,59,49,53,26,41,35,47
ENSG00000169692,123,141,126,150,77,95,72,90
ENSG00000138678,12,30,15,18,14,17,7,12
ENSG00000188157,824,1251,956,1369,846,1082,729,880
ENSG00000135744,0,0,0,0,0,0,0,0
ENSG00000144891,0,0,0,0,0,2,0,1
ENSG00000177674,20,23,38,46,32,34,21,28
ENSG00000156709,247,297,196,303,144,214,139,162
ENSG00000163568,0,0,0,0,0,0,0,0
ENSG00000197976,60,48,35,51,28,40,32,38
ENSG00000105127,251,327,256,352,196,304,181,232
ENSG00000011243,17,13,14,25,8,24,12,14
ENSG00000085662,1,0,0,2,0,0,1,0
ENSG00000187134,6,8,4,8,6,8,2,4
ENSG00000196139,155,213,159,229,111,136,158,112
ENSG00000122787,1,8,0,4,0,1,5,0
ENSG00000142208,2255,3283,2372,3414,2074,2868,1990,2424
ENSG00000105221,21,33,25,45,17,29,15,20
ENSG00000117020,0,0,1,0,0,0,0,1
ENSG00000163631,0,0,0,0,0,0,0,0
ENSG00000059573,8,14,15,26,4,14,14,14
ENSG00000165092,0,0,0,0,0,0,0,0
ENSG00000111275,9,5,2,2,2,3,0,3
ENSG00000159423,81,110,66,112,42,47,48,51
ENSG00000164904,0,1,0,4,1,0,0,0
ENSG00000143149,56,78,62,68,39,50,42,45
ENSG00000149925,1641,2130,1789,2180,1477,2045,1145,1703
ENSG00000109107,9,3,4,4,7,7,4,9
ENSG00000253710,55,52,45,66,19,49,35,33
