"gene","ensembl_id","stat","log2FoldChange"
"KRT81","ENSG00000205426",9.81591292989994e-09,0.613005724470237
"FAM107B","ENSG00000065809",3.54130862191035e-08,-0.867296460646204
"RPL6","ENSG00000089009",1.95608881337525e-07,0.664600301606009
"RPL7A","ENSG00000148303",1.95608881337525e-07,0.762964631254685
"RPS15","ENSG00000115268",3.76402751936368e-07,0.610749166339398
"HSP90AB1","ENSG00000096384",2.3650358005114e-06,0.489357275799721
"UBP1","ENSG00000153560",2.3650358005114e-06,-0.570671862771009
"RPS4X","ENSG00000198034",4.06916040423606e-06,0.623028802905215
"PDIA6","ENSG00000143870",1.68604360804146e-05,0.435007804106359
"NULL","",2.99686217437401e-05,-0.427448377877758
"RPL9","ENSG00000163682",3.39506106582614e-05,0.570222873296165
"BCAP29","ENSG00000075790",3.39506106582614e-05,-0.587878200610137
"UBL5","ENSG00000198258",3.49633587944414e-05,0.526082277726565
"NFAT5","ENSG00000102908",3.49633587944414e-05,-0.493178866878825
"RPN1","ENSG00000163902",4.78444975652045e-05,0.476181260720047
"PSMA3","ENSG00000100567",4.78444975652045e-05,-0.494567214937425
"RBBP4","ENSG00000162521",4.78444975652045e-05,-0.531022352572863
"UBAP2L","ENSG00000143569",5.35344484024624e-05,-0.57428805615001
"PPIAL4A","ENSG00000263353",5.35344484024624e-05,-0.634382393476579
"NBPF12","ENSG00000268043",5.35344484024624e-05,-0.446614649166665
"MUC5B","ENSG00000117983",5.5398596276852e-05,0.902817123819396
"RPL12","ENSG00000197958",7.39825290241462e-05,0.697168344389199
"LMAN2","ENSG00000169223",7.42450219390835e-05,0.520188610559392
"S100P","ENSG00000163993",7.62533576513324e-05,0.529082898077472
"CETN2","ENSG00000147400",9.18076102827699e-05,0.532548810310079
"OTUD1","ENSG00000165312",0.000103383279880432,-0.584053159682591
"HSPA5","ENSG00000044574",0.000161562571789377,0.704057393418507
"EIF3L","ENSG00000100129",0.000163696309694177,0.527614990396085
"LACTB","ENSG00000103642",0.000177716546955935,-0.428893387755085
"RELL1","ENSG00000181826",0.000192955036044368,-0.547662054221499
"PDHB","ENSG00000168291",0.00020312681253447,0.620619376718092
"KAT2B","ENSG00000114166",0.000221734093281253,-0.668163950737189
"PSME4","ENSG00000068878",0.000306885477886947,-0.642852606849059
"FUBP1","ENSG00000162613",0.000315844880056537,0.522510986723141
"ISCU","ENSG00000136003",0.000318098204912671,0.506698639822609
"OS9","ENSG00000135506",0.000323401810907715,0.656853347334675
"ATF7IP","ENSG00000171681",0.000323401810907715,-0.651741756596615
"UCP2","ENSG00000175567",0.000372587107690193,0.459846095029955
"SMC5","ENSG00000198887",0.000372587107690193,-0.49799279905542
"RPS21","ENSG00000171858",0.000373389119316161,0.412470323623989
"LGALS3","ENSG00000131981",0.000468361048027077,-0.454075443501232
"SUPT4H1","ENSG00000213246",0.000468361048027077,0.481772748529591
"ZNF638","ENSG00000075292",0.000496193465224359,-0.440838750964924
"RPS15A","ENSG00000134419",0.000526930778261863,0.499123744701013
"MDH2","ENSG00000146701",0.000526930778261863,0.490737149511939
"NAMPT","ENSG00000105835",0.000532939171844261,-0.746555128354243
"ATOSA","ENSG00000047346",0.000547271353685487,-0.450220546157509
"ZNF721","ENSG00000182903",0.000547271353685487,-0.77369275156643
"TAPBP","ENSG00000231925",0.000558298475370602,0.391449582349981
"ZNF808","ENSG00000198482",0.000562639910958508,-0.658725332029685
"DAD1","ENSG00000129562",0.000604357169891568,-0.39149171975379
"RPS2","ENSG00000140988",0.000671209680845365,0.467554103410103
"USP34","ENSG00000115464",0.000671209680845365,-0.636759048578376
"EIF3CL","ENSG00000205609",0.000671209680845365,0.4907663142338
"HIF1A","ENSG00000100644",0.000733133454564912,0.602166428785763
"PRPF38B","ENSG00000134186",0.000733133454564912,-0.449771871187768
"ZNF354A","ENSG00000169131",0.000776400700576008,-0.545836056792066
"CYP1A1","ENSG00000140465",0.000832852568202105,0.694707007465476
"GOLGA6L9","ENSG00000197978",0.000832852568202105,-0.787339656260988
"FOXP2","ENSG00000128573",0.000883529307178568,-0.514797419203757
"TRIM37","ENSG00000108395",0.000895432894005852,0.348261432681971
"SYNGR2","ENSG00000108639",0.000947720115691704,0.463828929493409
"ZNF761","ENSG00000160336",0.000947720115691704,-0.523466714865719
"ATG101","ENSG00000123395",0.000950054474315969,0.617900299312605
