"gene","stat"
"ENSG00000163884",1.14383218207616
"ENSG00000007264",1.12296278761932
"ENSG00000165521",1.09806554414655
"ENSG00000135968",1.06079251885886
"ENSG00000136522",1.05871840416887
"ENSG00000196743",1.03914263387751
"ENSG00000122140",1.02414251453567
"ENSG00000170113",1.02154081269573
"ENSG00000161265",1.0097322553879
"ENSG00000163040",0.989111025353096
"ENSG00000134982",0.976362332485304
"ENSG00000188242",0.975146787238094
"ENSG00000165138",0.94196746597953
"ENSG00000167693",0.941489545653181
"ENSG00000076242",0.925224980908425
"ENSG00000169288",0.906717570910047
"ENSG00000275221",0.906320266463561
"ENSG00000133657",0.887351060163922
"ENSG00000177721",0.880885597802581
"ENSG00000064687",0.87988815943933
"ENSG00000178096",0.878981051526235
"ENSG00000151502",0.870013432472573
"ENSG00000182774",0.8624188112704
"ENSG00000278318",0.859913799689657
"ENSG00000064490",0.85887263193077
"ENSG00000178467",0.854944060661377
"ENSG00000188342",0.850999597411547
"ENSG00000111581",0.847280022938569
"ENSG00000198157",0.843285404669002
"ENSG00000178038",0.823866099186789
"ENSG00000255823",0.823195764367539
"ENSG00000149308",0.820750044754153
"ENSG00000188315",0.818685055080993
"ENSG00000233917",0.813629230500926
"ENSG00000171863",0.81245661285168
"ENSG00000102226",0.810334953279327
"ENSG00000145982",0.804992059806597
"ENSG00000198754",0.802475399868286
"ENSG00000162194",0.798740689149495
"ENSG00000165283",0.797078810613825
"ENSG00000118096",0.795650242805732
"ENSG00000163281",0.789327850160119
"ENSG00000130045",0.780311290431468
"ENSG00000168496",0.774432311914167
"ENSG00000102109",0.765873200286745
"ENSG00000141905",0.764639636216814
"ENSG00000012822",0.763051479247994
"ENSG00000116701",0.762628527141301
"ENSG00000168393",0.761951857786126
"ENSG00000153130",0.76041020917157
"ENSG00000103415",0.760385766646944
"ENSG00000183840",0.759256088224595
"ENSG00000091542",0.758829396603817
"ENSG00000090565",0.757196160188884
"ENSG00000124641",0.752955762565306
"ENSG00000178104",0.752641353682233
"ENSG00000116793",0.751976770939819
"ENSG00000187243",0.747403819571631
