Run,batch
SRR21043436,Plate 2C index E
SRR21043518,Plate 2B index H
SRR21043601,Plate 2D index G
SRR21043876,Plate 2A index F
SRR21043816,Plate 2B index H
SRR21043814,Plate 2B index H
SRR21043817,Plate 2B index H
SRR21043815,Plate 2B index H
