"gene","ensembl_id","stat","log2FoldChange"
"WSB1","ENSG00000109046",6.19200660305006e-249,2.99844570030259
"ERRFI1","ENSG00000116285",6.6106796759083e-220,3.03495575264479
"ESR1","ENSG00000091831",6.70472591470892e-215,-3.14258658324659
"KRT17","ENSG00000128422",6.95059388779916e-197,4.74483953631801
"SLC25A25","ENSG00000148339",3.46780929198096e-188,3.00051930767755
"EVL","ENSG00000196405",3.60915421257321e-182,-2.68776402961243
"SLC12A2","ENSG00000064651",6.19662967685943e-143,-2.33050727512203
"KRT81","ENSG00000205426",5.26854091161269e-140,2.3960325862479
"NPY1R","ENSG00000164128",8.97102574923015e-140,-3.20576544190133
"KITLG","ENSG00000049130",1.99336169905198e-133,-2.96112673174132
"LCN2","ENSG00000148346",1.2780952738168e-127,2.72826648884283
"RDX","ENSG00000137710",5.71921940850544e-127,-2.72646306072888
"EEIG2","ENSG00000162636",2.58022712866267e-125,-3.09872160441047
"DCDC2","ENSG00000146038",3.58092492422632e-113,-2.83007822931046
"FTH1","ENSG00000167996",1.37466294885416e-108,1.77923654846299
"SLC6A14","ENSG00000268104",2.15205504812861e-103,-3.61572746390537
"RBCK1","ENSG00000125826",1.66776401215046e-97,2.14102903015655
"PBX1","ENSG00000185630",1.10632029168725e-93,-2.35915342895496
"BAMBI","ENSG00000095739",3.04319945782021e-93,-1.68933554467392
"SLC20A1","ENSG00000144136",1.71893300789484e-91,2.37515275572612
"RBL2","ENSG00000103479",5.55397371217342e-86,-2.37324686148749
"C1orf21","ENSG00000116667",1.1139848165142e-85,-2.24852345134906
"SLC38A1","ENSG00000111371",1.22360281564121e-85,-1.44058598834551
"COTL1","ENSG00000103187",2.64848359454543e-85,3.04219471303782
"NBN","ENSG00000104320",2.80199327988832e-85,-2.00338925329284
"VEGFA","ENSG00000112715",9.4104308742357e-85,2.14485304105512
"ACTN1","ENSG00000072110",1.7875036234192e-84,1.80591512307883
"GPCPD1","ENSG00000125772",8.60624778931012e-84,2.72054280028905
"GDF15","ENSG00000130513",6.28983152173644e-83,1.62657981102021
"TBC1D9","ENSG00000109436",6.28983152173644e-83,-2.05401607126625
"MRPS10","ENSG00000048544",7.72614917703429e-82,1.66232263414121
"KRT80","ENSG00000167767",5.11222838413972e-79,1.58949931542569
"SLC3A2","ENSG00000168003",6.93458976049736e-78,1.4178505096425
"EFCAB3","ENSG00000172421",5.28246589344496e-77,-2.19788389780951
"FAM83B","ENSG00000168143",7.47260934444643e-76,-2.1805841469577
"SNHG32","ENSG00000204387",8.54649716368618e-75,1.74547550147807
"SLC7A5","ENSG00000103257",1.21191175301442e-73,1.70139917364199
"IFRD1","ENSG00000006652",3.3789263111169e-73,1.72441780152491
"RNF43","ENSG00000108375",2.35299890053583e-71,-2.6397018935138
"OSR2","ENSG00000164920",8.18427865260543e-71,-1.88735150895624
"BLNK","ENSG00000095585",9.6736325676445e-71,-3.02278547854707
"RNF115","ENSG00000265491",6.48978001381224e-70,-1.60020809197329
"CRABP1","ENSG00000166426",3.29690250486688e-67,2.99001701852766
"MAP1LC3B","ENSG00000140941",8.6426991099903e-67,1.24062670401126
"FLNA","ENSG00000196924",1.24105180856278e-66,1.50979789862486
"HNRNPCL2","ENSG00000275774",1.96755486630498e-66,1.38122954961301
"SLX1A","ENSG00000132207",4.1091634470091e-65,2.09227608415239
"INTS13","ENSG00000064102",4.76759912598678e-65,-2.04690994254222
"KAT2B","ENSG00000114166",9.59103957611258e-64,-3.60248355395705
"NFE2L1","ENSG00000082641",4.22683325663276e-63,1.47967527712983
"SLC20A2","ENSG00000168575",5.66675262663586e-63,1.99966738205308
"ATP9A","ENSG00000054793",1.07476817596829e-62,-1.44736042920109
"HMOX1","ENSG00000100292",5.70578912225914e-62,2.87423096984446
"TCEA1","ENSG00000187735",1.71768279229263e-61,1.34239578443263
"SGCG","ENSG00000102683",3.57586905506244e-60,-2.36158057572778
"CHD2","ENSG00000173575",2.39097894279734e-59,1.57011170115182
"BET1","ENSG00000105829",5.80463384404279e-59,1.65050679495416
"TSC22D3","ENSG00000157514",1.23752825162494e-58,1.61224805542364
"RPS15A","ENSG00000134419",1.48972069313335e-58,1.56111388290224
"SAT1","ENSG00000130066",1.75689637336713e-58,1.82736727064187
"SYTL2","ENSG00000137501",1.88809115254402e-58,-2.60313410305415
"DTWD2","ENSG00000169570",2.12817797095936e-58,-2.49633043272009
"ABCC5","ENSG00000114770",4.55373593702935e-58,-1.98011211889536
"FGD3","ENSG00000127084",8.02412270157234e-58,-3.21834485383801
"SLX1B","ENSG00000181625",1.49454532932629e-57,1.96928040910026
"CHCHD10","ENSG00000250479",1.66520468037718e-57,2.26340783457701
"FREM2","ENSG00000150893",1.40849226548356e-56,-3.71599579122671
"TMEM150C","ENSG00000249242",1.77126922513e-55,-3.05241542243558
"GTPBP2","ENSG00000172432",1.91370933902624e-55,1.90607042245289
"CTNND2","ENSG00000169862",2.16349304176636e-55,-2.93099220401811
"PAWR","ENSG00000177425",2.54471826942511e-55,1.53539414880704
"CSRP1","ENSG00000159176",2.54471826942511e-55,1.41090564791571
"HSPA8","ENSG00000109971",1.28923304563462e-54,-1.07456477316709
"INPP4B","ENSG00000109452",2.02589216832769e-54,-2.13394871025995
"HES4","ENSG00000188290",6.52872879580651e-54,1.86345944769327
"TIMP3","ENSG00000100234",7.84492961120851e-54,2.71440808886704
"AKT1","ENSG00000142208",9.31282907961279e-53,-1.22981407265484
"ZNF57","ENSG00000171970",3.9511032503781e-52,2.0643755863748
"GADD45A","ENSG00000116717",4.55769511927804e-52,2.10045058256319
"FAM241A","ENSG00000174749",4.79914188912169e-52,-1.57155152346525
"MAFF","ENSG00000185022",8.99704728624697e-52,2.93884278741977
"UBA5","ENSG00000081307",2.01656029441315e-51,-1.89276085903559
"EID1","ENSG00000255302",2.28380214326974e-51,-1.88581913109969
"THEMIS2","ENSG00000130775",3.03452267256113e-51,2.3682251998572
"CBX4","ENSG00000141582",4.45992645632152e-51,1.25591005027583
"PABPC1L","ENSG00000101104",6.27189707541373e-51,1.63911079825169
"IRS1","ENSG00000169047",6.8804380086213e-51,-2.14044776721033
"HNRNPC","ENSG00000092199",1.23266172430646e-50,1.21312740097439
"ST8SIA4","ENSG00000113532",1.60340013857729e-49,-2.70547427570538
"SKIC8","ENSG00000140395",2.68848587390762e-49,-1.38532684598454
"EXOC6","ENSG00000138190",1.66187423150461e-48,-2.20602983688055
"NBEAP2","ENSG00000197927",2.19150611354509e-48,-2.10114573222074
"EPS8","ENSG00000151491",2.86887620887503e-48,-2.06205572839138
"QSOX1","ENSG00000116260",6.80342553816687e-48,-1.45147319002727
"KRT19","ENSG00000171345",1.05048447554634e-47,-1.88541791873629
"MAFK","ENSG00000198517",1.05048447554634e-47,1.39452139444193
"MUC20","ENSG00000176945",1.54696993828064e-47,-2.24707612580105
"PLS1","ENSG00000120756",3.41148611414384e-47,-1.46846691610286
"ITPR2","ENSG00000123104",2.18399989757654e-46,-1.62364971212806
"SMN1","ENSG00000205571",3.18719608703377e-46,1.32771612502546
"M6PR","ENSG00000003056",3.92246118555291e-46,1.069308309807
"PLCB4","ENSG00000101333",4.21078197915249e-46,-2.23863721207986
"NUAK2","ENSG00000163545",4.37388341654237e-46,2.03084415691181
"ATP2A3","ENSG00000074370",2.74610850654469e-45,-2.57785294366767
"ULK3","ENSG00000140474",2.93128992077518e-45,-1.59291567476396
"VMP1","ENSG00000062716",3.69644589306526e-45,1.26904122230511
"LITAF","ENSG00000189067",9.72765980997153e-45,1.98168745104482
"EMD","ENSG00000102119",1.09396905394386e-44,1.77084879117371
"ZNF841","ENSG00000197608",1.5237316875951e-44,1.20274293497348
"CCDC159","ENSG00000183401",1.58184527479347e-44,-1.65347872547574
"WASHC5","ENSG00000164961",1.65145232313881e-44,-1.34597836283849
"PRLR","ENSG00000113494",2.95103068813811e-44,-1.73121370874004
"PLCB1","ENSG00000182621",4.41402642861748e-44,-3.31338071002046
"SRP54","ENSG00000100883",7.70928467069169e-44,1.03887545406042
"MYO6","ENSG00000196586",1.22982083582407e-43,-1.31825829890204
"UBP1","ENSG00000153560",2.93582390117716e-43,-1.83224365113537
"PRSS8","ENSG00000052344",5.42236536327246e-43,1.0168774202821
"NCAM2","ENSG00000154654",6.80202279832583e-43,-4.00536039121175
"NRCAM","ENSG00000091129",1.03729015958061e-42,-1.32238079165259
"DUSP5","ENSG00000138166",1.10827114209918e-42,2.4673998818367
"MLPH","ENSG00000115648",7.05258320393889e-42,-1.07402784179066
"PPP1R3C","ENSG00000119938",8.7374819810982e-42,-3.85152646805047
"NBEAL2","ENSG00000160796",1.12860924753931e-41,-2.23436180598704
"ERBB2","ENSG00000141736",6.29217290263975e-41,-1.27839118640128
"VAV3","ENSG00000134215",1.08849393836021e-40,-2.00646198008947
"ENSG00000224032","ENSG00000224032",1.52277792072499e-40,1.35592717007804
"PDE3B","ENSG00000152270",2.764678208284e-40,-2.1582351733131
"SPTSSB","ENSG00000196542",4.5778994136361e-40,-1.1843464578588
"GTPBP4","ENSG00000107937",4.68759821986243e-40,1.19059556534077
"FMN1","ENSG00000248905",4.86884033477134e-40,-1.83394129713022
"MGLL","ENSG00000074416",5.81001197906548e-40,1.40222739133183
"PEBP1","ENSG00000089220",8.84095017151736e-40,-1.61861899560341
"MICAL2","ENSG00000133816",1.59905523032534e-39,1.86656421024451
"S100P","ENSG00000163993",1.68072051742332e-39,1.40327858880684
"SLC15A4","ENSG00000139370",4.64094354126777e-39,1.2174768744932
"PPP1R15A","ENSG00000087074",5.25127063985678e-39,1.63441197391295
"SEC13","ENSG00000157020",7.31646875328163e-39,1.16265624675364
"CD47","ENSG00000196776",1.24697211376312e-38,-1.44948340730158
"MACROH2A1","ENSG00000113648",1.75364090116199e-38,-1.36667022905472
"TMED2","ENSG00000086598",1.78928323894209e-38,1.13409524110998
"SALL4","ENSG00000101115",2.02259675193581e-38,-2.32266292252669
"BEX3","ENSG00000166681",2.27390948535398e-38,-1.41949609558441
"DUSP4","ENSG00000120875",4.16819775051843e-38,1.66963284383948
"PKM","ENSG00000067225",4.22054511164348e-38,-1.46763292216972
"TVP23C","ENSG00000175106",1.88842002915395e-37,1.21780542902593
"ADARB1","ENSG00000197381",2.04306134008081e-37,-1.61424610395808
"BORCS7","ENSG00000166275",2.89854302536914e-37,-2.96541128402453
"ARMCX2","ENSG00000184867",4.1813217098763e-37,1.19783282218057
"HNRNPD","ENSG00000138668",4.95360524152755e-37,-1.41519495822817
"AMZ1","ENSG00000174945",5.14114677179404e-37,2.18820455433769
"LSMEM1","ENSG00000181016",6.47525113714127e-37,2.33894900394492
"ARRB1","ENSG00000137486",6.71734477316788e-37,-3.33343564775045
"DBI","ENSG00000155368",7.80216264423835e-37,-1.16027837741965
"KLF10","ENSG00000155090",1.69736623244903e-36,1.48117692639863
"MYADM","ENSG00000179820",1.83480959204541e-36,1.77731751166679
"MCCC2","ENSG00000131844",3.00715755034432e-36,-1.21322304466525
"NUPR1","ENSG00000176046",3.49837149685301e-36,2.09725148600991
"AMOTL2","ENSG00000114019",4.73371518253341e-36,1.33932765707451
"SCCPDH","ENSG00000143653",5.73953468483307e-36,-2.27038849427609
"RAB32","ENSG00000118508",2.27460043641939e-35,1.46252475025257
"ISCU","ENSG00000136003",2.80998701829426e-35,1.33391636998774
"RETREG1","ENSG00000154153",3.20522148661342e-35,-2.66035483357646
"UBTF","ENSG00000108312",4.04350687534967e-35,-1.46472381119459
"ATOSA","ENSG00000047346",6.52956767202062e-35,-1.1354464733919
"FASN","ENSG00000169710",6.89798569315203e-35,-1.16930427912078
"TRIM16","ENSG00000221926",7.59146780009757e-35,1.59819115243422
"GPD1L","ENSG00000152642",8.72080020119217e-35,-2.04134216381739
"TRA2A","ENSG00000164548",9.29533455468159e-35,-1.16381980501427
"MPHOSPH8","ENSG00000196199",1.20926101688709e-34,-1.539824427268
"ABCG2","ENSG00000118777",1.45210008128733e-34,-2.27321183526197
"P2RY2","ENSG00000175591",1.5859034490346e-34,-2.92476045170406
"SLC24A3","ENSG00000185052",1.66126460949499e-34,-3.35439589435287
"ACOT13","ENSG00000112304",3.3171848329262e-34,1.13359718340375
"SMARCA2","ENSG00000080503",7.74686485697305e-34,-2.09142546563485
"SH3BGRL","ENSG00000131171",9.54370427314434e-34,-1.68836507468418
"ARHGEF28","ENSG00000214944",2.18517584401616e-33,-3.02748151165888
"MRPL23","ENSG00000214026",6.35261139249149e-33,-1.87742792510366
"PLXND1","ENSG00000004399",7.56304543383309e-33,-1.33009384757094
"HID1","ENSG00000167861",8.06242713131069e-33,-1.83448686801029
"AGR2","ENSG00000106541",1.05414697792408e-32,-1.51889531172588
"H2AC6","ENSG00000180573",1.1840438399183e-32,-1.14089642590067
"GPATCH2L","ENSG00000089916",1.26403329713596e-32,1.07284652224334
"VPREB3","ENSG00000128218",1.42325785885446e-32,3.58017108375773
"MKNK2","ENSG00000099875",1.76530786560868e-32,1.3991499397883
"CDK6","ENSG00000105810",1.9017132487379e-32,-1.88037226108227
"ATG101","ENSG00000123395",3.39153688782177e-32,1.49906766408934
"YARS1","ENSG00000134684",7.84944207788434e-32,1.20069218882562
"GPRC5A","ENSG00000013588",9.15224101622542e-32,-1.23196666342184
"SLC35A5","ENSG00000138459",1.60071795247018e-31,-1.81345339117245
"EEF1A2","ENSG00000101210",1.9861720529834e-31,0.869058568738731
"ITGB4","ENSG00000132470",2.18917179314682e-31,-1.26762938273413
"FNDC3A","ENSG00000102531",3.37221619675261e-31,1.03403653025382
"VANGL1","ENSG00000173218",4.67418250887474e-31,-1.64877130413822
"CA12","ENSG00000074410",4.75676062030407e-31,-1.80551479201482
"NUP58","ENSG00000139496",6.09173049932894e-31,1.19073134971058
"DNAJB11","ENSG00000090520",6.71997053983597e-31,1.09824929575089
"MDM4","ENSG00000198625",7.76438854761783e-31,0.974958858470428
"CEMIP2","ENSG00000135048",8.63432227008543e-31,-1.59575809970737
"AREG","ENSG00000109321",1.62953911626213e-30,2.21075294096146
"PPIAL4A","ENSG00000263353",1.65850657296138e-30,-1.21116061866644
"SPART","ENSG00000133104",1.77114747294297e-30,-1.42923972686433
"HIF1A","ENSG00000100644",2.0713736320128e-30,1.46460113305214
"RASSF3","ENSG00000153179",2.33994263694501e-30,1.7689658228736
"PPT1","ENSG00000131238",2.52755345775732e-30,-1.19439751438227
"EPB41L4A","ENSG00000129595",2.69564692527511e-30,-2.28974204738705
"ULBP1","ENSG00000111981",3.56522973608859e-30,2.11061836598243
"FOXO6","ENSG00000204060",5.58018919340833e-30,-1.85129934108687
"CLDN1","ENSG00000163347",6.85071371651385e-30,2.85086996214157
"BCLAF1","ENSG00000029363",7.96268828561795e-30,-1.10768464845217
