Run,batch
SRR21043434,Plate 2C index E
SRR21043516,Plate 2B index H
SRR21043599,Plate 2D index G
SRR21043874,Plate 2A index F
SRR21043816,Plate 2B index H
SRR21043814,Plate 2B index H
SRR21043817,Plate 2B index H
SRR21043815,Plate 2B index H
