Run,batch
SRR21043475,Plate 2C index E
SRR21043566,Plate 2A index F
SRR21043833,Plate 2B index H
SRR21043904,Plate 2D index G
SRR21043816,Plate 2B index H
SRR21043814,Plate 2B index H
SRR21043817,Plate 2B index H
SRR21043815,Plate 2B index H
